rank,player_name,team,position,age,total_contract_value,total_contract_value_millions,year
1647,Roosevelt Nix,PIT,FB,,"$428,117",0.428117,2015
1648,Casey Matthews,MIN,LB,,"$428,000",0.428,2015
1649,Corey Wootton,DET,DL,,"$428,000",0.428,2015
1650,Kai Forbath,NO,K,,"$427,058",0.427058,2015
1651,Joe Looney,TEN,G,,"$427,058",0.427058,2015
1652,Jordan Mills,BUF,RT,,"$427,058",0.427058,2015
1653,Byron Stingily,PIT,RT,,"$427,058",0.427058,2015
1654,Randall Telfer,CLE,TE,,"$423,090",0.42309,2015
1655,Nikita Whitlock,NYG,FB,,"$421,235",0.421235,2015
1656,Max Bullough,HOU,LB,,"$420,000",0.42,2015
1657,Thomas Rawls,SEA,RB,,"$419,352",0.419352,2015
1658,L.J. McCray,SF,SS,,"$418,294",0.418294,2015
1659,Kenny Demens,ARI,LB,,"$417,705",0.417705,2015
1660,Jackson Jeffcoat,WAS,ED,,"$416,294",0.416294,2015
1661,Junior Galette,WAS,ED,,"$413,000",0.413,2015
1662,Dwight Freeney,ARI,ED,,"$412,941",0.412941,2015
1663,Tanner Hawkinson,PHI,G,,"$412,941",0.412941,2015
1664,Josh Johnson,BUF,QB,,"$412,941",0.412941,2015
1665,Don Jones,CLE,FS,,"$412,941",0.412941,2015
1666,Nick Moody,SEA,LB,,"$412,941",0.412941,2015
1667,Austin Johnson,NO,FB,,"$412,588",0.412588,2015
1668,Josh Boyd,GB,DL,,"$412,022",0.412022,2015
1669,Shamar Stephen,MIN,DL,,"$411,757",0.411757,2015
1670,Charles Gaines,CLE,CB,,"$410,475",0.410475,2015
1671,Mark Nzeocha,DAL,LB,,"$409,793",0.409793,2015
1672,Tom Savage,HOU,QB,,"$408,146",0.408146,2015
1673,Ifo Ekpre-Olomu,CLE,CB,,"$408,031",0.408031,2015
1674,MarQueis Gray,BUF,TE,,"$403,764",0.403764,2015
1675,Cam Thomas,BUF,CB,,"$394,732",0.394732,2015
1676,Kenny Anunike,DEN,DL,,"$394,538",0.394538,2015
1677,Jesse Williams,SEA,DL,,"$393,706",0.393706,2015
1678,Darren Waller,BAL,TE,,"$392,359",0.392359,2015
1679,Michael Campanaro,BAL,WR,,"$391,522",0.391522,2015
1680,Martrell Spaight,WAS,LB,,"$391,251",0.391251,2015
1681,IK Enemkpali,BUF,LB,,"$390,000",0.39,2015
1682,Andrew Tiller,SF,G,,"$390,000",0.39,2015
1683,Jordan Tripp,JAX,LB,,"$390,000",0.39,2015
1684,Myles White,NYG,WR,,"$390,000",0.39,2015
1685,Deiontrez Mount,TEN,ED,,"$389,449",0.389449,2015
1686,Darrell Williams,STL,T,,"$389,323",0.389323,2015
1687,Arrelious Benn,JAX,WR,,"$388,000",0.388,2015
1688,Joe Thomas,GB,LB,,"$383,823",0.383823,2015
1689,Tony Washington,JAX,WR,,"$383,823",0.383823,2015
1690,Ryan Griffin,HOU,TE,,"$381,611",0.381611,2015
1691,Nat Berhe,NYG,SS,,"$381,200",0.3812,2015
1692,Joe Banyard,JAX,RB,,"$378,529",0.378529,2015
1693,Ahmad Bradshaw,IND,RB,,"$378,529",0.378529,2015
1694,Kenrick Ellis,MIN,DL,,"$378,529",0.378529,2015
1695,Lemuel Jeanpierre,SEA,C,,"$378,529",0.378529,2015
1696,Taylor Mays,OAK,SS,,"$378,529",0.378529,2015
1697,Kenbrell Thompkins,NYJ,WR,,"$378,529",0.378529,2015
1698,Philip Wheeler,ATL,LB,,"$378,529",0.378529,2015
1699,Vinnie Sunseri,NO,SS,,"$377,125",0.377125,2015
1700,Mykkele Thompson,NYG,FS,,"$375,215",0.375215,2015
1701,Greg Mancz,HOU,C,,"$375,058",0.375058,2015
1702,T.J. Fatinikun,TB,ED,,"$374,647",0.374647,2015
1703,Sam Barrington,GB,LB,,"$374,191",0.374191,2015
1704,Davis Tull,NO,ED,,"$373,433",0.373433,2015
1705,Lonnie Ballentine,HOU,FS,,"$370,768",0.370768,2015
1706,Kenny Bell,TB,WR,,"$369,209",0.369209,2015
1707,Nick Boyle,BAL,TE,,"$364,431",0.364431,2015
1708,Cody Parkey,PHI,K,,"$364,235",0.364235,2015
1709,Brian Tyms,NE,WR,,"$363,000",0.363,2015
1710,David Molk,PHI,C,,"$361,941",0.361941,2015
1711,Corey Grant,JAX,RB,,"$360,960",0.36096,2015
1712,Zach Zenner,DET,RB,,"$360,960",0.36096,2015
1713,Brandon Dunn,HOU,DL,,"$360,000",0.36,2015
1714,Cameron Fleming,NE,T,,"$360,000",0.36,2015
1715,Bruce Gaston,CHI,DL,,"$360,000",0.36,2015
1716,Justin Perillo,GB,TE,,"$360,000",0.36,2015
1717,Justin Staples,TEN,ED,,"$360,000",0.36,2015
