rank,player_name,team,position,total_contract_value,total_contract_value_millions,year
486,Keelan Cole,JAX,WR,"$3,259,000",3.259,2020
487,Michael Davis,LAC,CB,"$3,259,000",3.259,2020
488,Matt Feiler,PIT,RT,"$3,259,000",3.259,2020
489,Zane Gonzalez,ARI,K,"$3,259,000",3.259,2020
490,Mike Hilton,PIT,CB,"$3,259,000",3.259,2020
491,Jacob Hollister,SEA,TE,"$3,259,000",3.259,2020
492,Nicholas Morrow,LV,LB,"$3,259,000",3.259,2020
493,Roy Robertson-Harris,CHI,DL/DT,"$3,259,000",3.259,2020
494,Elijah Wilkinson,DEN,G,"$3,259,000",3.259,2020
495,Eric Wilson,MIN,LB,"$3,259,000",3.259,2020
496,Anthony Brown,DAL,CB,"$3,250,000",3.25,2020
497,Clayton Fejedelem,MIA,SS,"$3,250,000",3.25,2020
498,Erik Harris,LV,SS,"$3,250,000",3.25,2020
499,Shelby Harris,DEN,DL/DE,"$3,250,000",3.25,2020
500,Blake Jarwin,DAL,TE,"$3,250,000",3.25,2020
501,Lee Smith,BUF,TE,"$3,250,000",3.25,2020
502,Levine Toilolo,NYG,TE,"$3,250,000",3.25,2020
503,Leighton Vander Esch,DAL,LB,"$3,231,213",3.231213,2020
504,Frank Ragnow,DET,C,"$3,212,765",3.212765,2020
505,Harrison Butker,KC,K,"$3,195,000",3.195,2020
506,Billy Price,CIN,C,"$3,194,315",3.194315,2020
507,K'Waun Williams,SF,CB,"$3,184,375",3.184375,2020
508,Ryan Griffin,NYJ,TE,"$3,160,073",3.160073,2020
509,Rashaan Evans,TEN,LB,"$3,157,416",3.157416,2020
510,Isaiah Wynn,NE,LT,"$3,120,519",3.120519,2020
511,Jarrod Wilson,JAX,FS,"$3,083,333",3.083333,2020
512,Brian Burns,CAR,ED/OLB,"$3,077,314",3.077314,2020
513,Kevin Huber,CIN,P,"$3,050,000",3.05,2020
514,D.J. Moore,CAR,WR,"$3,046,722",3.046722,2020
515,Tarik Cohen,CHI,RB,"$3,041,916",3.041916,2020
516,Henry Ruggs,LV,WR,"$3,031,205",3.031205,2020
517,David Njoku,CLE,TE,"$3,030,714",3.030714,2020
518,Benson Mayowa,SEA,ED,"$3,018,750",3.01875,2020
519,Dexter Lawrence,NYG,DL/DE,"$3,010,918",3.010918,2020
520,Andy Dalton,DAL,QB,"$3,000,000",3.0,2020
521,Mike Davis,CAR,RB,"$3,000,000",3.0,2020
522,Graham Gano,NYG,K,"$3,000,000",3.0,2020
523,Kamu Grugier-Hill,MIA,LB,"$3,000,000",3.0,2020
524,Ted Karras,MIA,C,"$3,000,000",3.0,2020
525,Nick Vigil,LAC,LB,"$3,000,000",3.0,2020
526,Brian Winters,BUF,G,"$3,000,000",3.0,2020
527,Derek Wolfe,BAL,DL,"$3,000,000",3.0,2020
528,Patrick Ricard,BAL,FB,"$2,983,333",2.983333,2020
529,Calvin Ridley,ATL,WR,"$2,972,921",2.972921,2020
530,Juston Burris,CAR,SS,"$2,958,424",2.958424,2020
531,Kevin Pierre-Louis,WAS,ED,"$2,956,250",2.95625,2020
532,Tristan Wirfs,TB,T,"$2,950,550",2.95055,2020
533,T.J. Watt,PIT,ED/OLB,"$2,945,908",2.945908,2020
534,Rashaad Penny,SEA,RB,"$2,936,028",2.936028,2020
535,Garrett Bradbury,MIN,C,"$2,927,925",2.927925,2020
536,Rex Burkhead,NE,RB,"$2,925,000",2.925,2020
537,Terrell Edmunds,PIT,SS,"$2,917,578",2.917578,2020
538,Jerick McKinnon,SF,RB,"$2,910,000",2.91,2020
539,Jeffery Simmons,TEN,DL/DE,"$2,878,126",2.878126,2020
540,Noah Fant,DEN,TE,"$2,861,528",2.861528,2020
541,Jameis Winston,NO,QB,"$2,860,000",2.86,2020
542,Darnell Savage,GB,SS,"$2,844,929",2.844929,2020
543,Case Keenum,CLE,QB,"$2,833,333",2.833333,2020
544,Ryan Ramczyk,NO,RT,"$2,829,131",2.829131,2020
545,Javon Kinlaw,SF,DL/DT,"$2,816,126",2.816126,2020
546,Josh Hill,NO,TE,"$2,813,750",2.81375,2020
547,Ronald Darby,WAS,CB,"$2,812,500",2.8125,2020
548,Andre Dillard,PHI,LT,"$2,811,496",2.811496,2020
549,Riley Dixon,NYG,P,"$2,785,000",2.785,2020
550,Tytus Howard,HOU,RT,"$2,778,534",2.778534,2020
551,Taven Bryan,JAX,DL/DT,"$2,769,534",2.769534,2020
552,Marcus Cannon,NE,RT,"$2,766,667",2.766667,2020
