rank,player_name,team,position,age,total_contract_value,total_contract_value_millions,year
1411,Ray Davis,BUF,RB,,"$973,297",0.973297,2024
1412,Isaac Guerendo,SF,RB,,"$971,132",0.971132,2024
1413,Stetson Bennett,LAR,QB,,"$969,785",0.969785,2024
1414,T.J. Tampa,BAL,CB,,"$969,614",0.969614,2024
1415,Karl Brooks,GB,DL/DT,,"$968,007",0.968007,2024
1416,Jared Wiley,KC,TE,,"$967,155",0.967155,2024
1417,Josh Hayes,TB,S,,"$966,093",0.966093,2024
1418,Darian Kinnard,PHI,G,,"$965,000",0.965,2024
1419,JL Skinner,DEN,S,,"$964,055",0.964055,2024
1420,Parker Washington,JAX,WR,,"$963,066",0.963066,2024
1421,Jaelyn Duncan,TEN,RT,,"$962,450",0.96245,2024
1422,Kayshon Boutte,NE,WR,,"$961,818",0.961818,2024
1423,Tanner McKee,PHI,QB,,"$961,630",0.96163,2024
1424,Trey Palmer,TB,WR,,"$959,823",0.959823,2024
1425,Bryce Baringer,NE,P,,"$959,614",0.959614,2024
1426,Andrew Ogletree,IND,TE,,"$959,547",0.959547,2024
1427,Scott Matlock,LAC,FB,,"$958,074",0.958074,2024
1428,Jarrett Patterson,HOU,C,,"$957,493",0.957493,2024
1429,Dante Stills,ARI,ED/DE,,"$957,153",0.957153,2024
1430,Amari Burney,LV,LB/ILB,,"$956,279",0.956279,2024
1431,Jarrick Bernard-Converse,NYJ,CB,,"$956,278",0.956278,2024
1432,Xavier Hutchinson,HOU,WR,,"$955,926",0.955926,2024
1433,Andrei Iosivas,CIN,WR,,"$954,846",0.954846,2024
1434,Tre Hawkins III,NYG,CB,,"$952,380",0.95238,2024
1435,Deuce Vaughn,DAL,RB,,"$948,334",0.948334,2024
1436,Dee Winters,SF,LB/OLB,,"$948,334",0.948334,2024
1437,Demario Douglas,NE,WR,,"$948,333",0.948333,2024
1438,McKinnley Jackson,CIN,DL/DT,,"$945,288",0.945288,2024
1439,Jaylon Jones,IND,CB,,"$943,370",0.94337,2024
1440,Ethan Evans,LAR,P,,"$942,001",0.942001,2024
1441,Carrington Valentine,GB,CB,,"$940,176",0.940176,2024
1442,Ben Skowronek,PIT,WR,,"$937,778",0.937778,2024
1443,Patrick Johnson,NYG,LB/OLB,,"$937,776",0.937776,2024
1444,Kenny McIntosh,SEA,RB,,"$937,713",0.937713,2024
1445,Josiah Deguara,JAX,TE,,"$937,500",0.9375,2024
1446,Luke Gifford,TEN,LB/ILB,,"$937,500",0.9375,2024
1447,Jordon Riley,NYG,DL/DT,,"$935,942",0.935942,2024
1448,Jalen Brooks,DAL,WR,,"$935,590",0.93559,2024
1449,D.J. Ivey,CIN,CB,,"$935,163",0.935163,2024
1450,Moro Ojomo,PHI,ED/DE,,"$934,446",0.934446,2024
1451,Spencer Anderson,PIT,G,,"$934,444",0.934444,2024
1452,Alex Forsyth,DEN,C,,"$934,444",0.934444,2024
1453,Desjuan Johnson,LAR,DL/DE,,"$934,444",0.934444,2024
1454,Larrell Murchison,LAR,DL/DT,,"$931,667",0.931667,2024
