player_name_short,position,team_city,penalty_count,penalty_yards,year
J.Williams,WR,Detroit,4,38,2025
S.Rhyan,OL,Green Bay,3,24,2025
A.Pierce,WR,Indianapolis,4,30,2025
C.Van Lanen,OL,Jacksonville,4,30,2025
J.Williams,DB,Kansas City,3,31,2025
M.Caliendo,OL,Kansas City,3,17,2025
J.Smith-Schuster,WR,Kansas City,3,35,2025
C.Durant,DB,LA Rams,3,21,2025
Z.Johnson,OL,LA Chargers,3,25,2025
J.Meredith,OL,Las Vegas,2,15,2025
B.Schooler,DB,New England,4,55,2025
A.Taylor,DB,New Orleans,4,24,2025
T.Penning,OL,New Orleans,4,26,2025
A.Gardner,DB,N.Y. Jets,3,41,2025
A.Lucas,OL,Seattle,4,25,2025
L.Hall,DL,Tampa Bay,4,50,2025
B.Melton,DB,Green Bay,3,24,2025
A.Key,LB,Tennessee,3,21,2025
C.McGovern,OL,Buffalo,3,22,2025
X.Smith,WR,LA Rams,3,20,2025
C.Valentine,DB,Green Bay,2,6,2025
J.Smith-Njigba,WR,Seattle,3,40,2025
T.Tucker,WR,Las Vegas,4,15,2025
J.Ward,DB,Minnesota,4,40,2025
S.Brown,DB,Philadelphia,4,30,2025
P.Skoronski,OL,Tennessee,3,25,2025
J.Hayes,DB,Tampa Bay,4,35,2025
G.Dexter,DL,Chicago,3,34,2025
C.Godrick,OL,Kansas City,4,30,2025
A.Robinson,DL,Carolina,3,35,2025
A.Schlottmann,OL,N.Y. Giants,4,35,2025
Ev.Brown,OL,Arizona,4,28,2025
J.Williams,OL,Arizona,4,25,2025
N.Scott,DB,Carolina,4,53,2025
J.Greenard,LB,Minnesota,3,15,2025
J.Runyan,OL,N.Y. Giants,4,22,2025
N.Igbinoghene,DB,Washington,4,43,2025
L.Cushenberry,OL,Tennessee,3,20,2025
D.Holmes,DB,Las Vegas,2,32,2025
D.Baker,DB,Tennessee,3,63,2025
T.Incoom,LB,Carolina,4,40,2025
R.Rosengarten,OL,Baltimore,4,19,2025
D.Puni,OL,San Francisco,4,30,2025
C.Hart,DB,LA Chargers,4,22,2025
T.Eichenberg,LB,Las Vegas,4,26,2025
C.Carson,DB,Dallas,4,63,2025
N.Thomas,OL,Dallas,4,35,2025
J.Williams,LB,Tennessee,4,34,2025
J.Wallace,DB,LA Rams,4,25,2025
O.Fashanu,OL,N.Y. Jets,3,20,2025
M.Melton,DB,Arizona,4,19,2025
E.Williams,DB,Green Bay,4,45,2025
J.Verse,LB,LA Rams,3,15,2025
T.Franklin,WR,Denver,3,25,2025
M.Smith,DL,Jacksonville,4,36,2025
Z.Frazier,OL,Pittsburgh,3,25,2025
J.Morgan,OL,Green Bay,4,25,2025
B.Sinnott,TE,Washington,4,29,2025
L.McConkey,WR,LA Chargers,3,30,2025
A.Mims,OL,Cincinnati,3,14,2025
K.Zeitler,OL,Tennessee,4,30,2025
C.Lucas,OL,Cleveland,2,15,2025
S.Diggs,WR,New England,4,35,2025
R.Robertson-Harris,DL,N.Y. Giants,2,20,2025
X.Howard,DB,Indianapolis,4,14,2025
T.Patrick,WR,Jacksonville,3,25,2025
R.Douglas,DB,Miami,3,59,2025
E.Saubert,TE,Seattle,4,30,2025
S.Thomas,DL,Dallas,3,11,2025
J.Reid,DB,New Orleans,3,70,2025
T.Thomas,DB,Minnesota,4,50,2025
E.Speed,LB,Houston,4,20,2025
J.Slye,K,Tennessee,4,0,2025
D.Risner,OL,Cincinnati,4,19,2025
D.White,LB,Las Vegas,4,50,2025
T.Wharton,DL,Carolina,2,10,2025
S.Franklin,DB,Buffalo,4,50,2025
B.Echols,DB,Pittsburgh,3,28,2025
T.Hufanga,DB,Denver,4,46,2025
N.McCloud,DB,Chicago,4,42,2025
C.Rumph,LB,New Orleans,4,45,2025
D.Dalman,OL,Chicago,4,30,2025
J.Palmer,WR,Buffalo,3,17,2025
J.Houston,DL,Dallas,4,43,2025
J.Bennett,DB,Philadelphia,4,41,2025
R.Steward,DB,Dallas,4,29,2025
T.Warren,TE,Indianapolis,3,30,2025
M.Mbow,OL,N.Y. Giants,3,30,2025
M.Sigle,DB,San Francisco,4,48,2025
M.Evans,TE,Carolina,4,40,2025
J.Hawes,TE,Buffalo,4,30,2025
J.Fryar,OL,Arizona,4,25,2025
K.Martin,DB,Baltimore,4,29,2025
S.Sanders,QB,Cleveland,4,44,2025
T.Henderson,RB,New England,3,30,2025
J.Savaiinaea,OL,Miami,3,20,2025
B.Morrison,DB,Tampa Bay,2,15,2025
J.Clowney,DL,Dallas,3,15,2025
G.Newsome,DB,Jacksonville,3,30,2025
T.Penning,OL,LA Chargers,3,24,2025
Z.Gonzalez,K,Atlanta,4,0,2025
L.David,LB,Tampa Bay,2,9,2025
L.Johnson,OL,Philadelphia,3,25,2025
M.Evans,WR,Tampa Bay,3,30,2025
C.Boswell,K,Pittsburgh,3,0,2025
T.Higbee,TE,LA Rams,3,25,2025
G.Stewart,DL,Indianapolis,3,25,2025
K.Bourne,WR,San Francisco,2,15,2025
Z.Franklin,LB,Indianapolis,3,36,2025
P.Mahomes,QB,Kansas City,3,25,2025
J.Allen,QB,Buffalo,3,29,2025
D.James,DB,LA Chargers,3,24,2025
D.Ward,DB,Cleveland,3,31,2025
T.Lewis,DL,Indianapolis,2,20,2025
C.Goodwin,DB,Dallas,3,25,2025
E.McCoy,OL,New Orleans,2,15,2025
E.Jenkins,OL,Green Bay,3,18,2025
C.Granderson,LB,New Orleans,3,30,2025
J.Reaves,DB,Washington,2,13,2025
Q.Williams,DL,N.Y. Jets,3,25,2025
M.Epps,DB,Philadelphia,3,15,2025
D.Brown,DL,Carolina,3,35,2025
C.Kmet,TE,Chicago,3,14,2025
T.Diggs,DB,Dallas,2,30,2025
A.Jackson,OL,Miami,3,15,2025
A.Thomas,OL,N.Y. Giants,2,20,2025
J.Conklin,OL,Cleveland,3,30,2025
M.Onwenu,OL,New England,3,19,2025
A.Highsmith,LB,Pittsburgh,3,25,2025
B.Toth,OL,Philadelphia,3,25,2025
A.McNeill,DL,Detroit,2,6,2025
J.Goff,QB,Detroit,3,24,2025
T.Smith,DB,Houston,2,20,2025
N.Collins,WR,Houston,2,20,2025
J.Tavai,LB,New England,3,25,2025
H.Henry,TE,New England,3,20,2025
M.Koonce,DL,Las Vegas,2,31,2025
D.London,WR,Atlanta,2,20,2025
C.Kolar,TE,Baltimore,2,13,2025
C.Benford,DB,Buffalo,3,19,2025
C.Mays,OL,Carolina,3,20,2025
N.Cross,DB,Indianapolis,2,20,2025
M.Brown,DB,Jacksonville,2,21,2025
G.Karlaftis,DL,Kansas City,3,28,2025
J.Cochrane,LB,Kansas City,3,30,2025
I.Pola-Mao,DB,Las Vegas,3,32,2025
D.Belton,DB,N.Y. Giants,3,57,2025
D.Bellinger,TE,N.Y. Giants,3,20,2025
T.Adams,DB,N.Y. Jets,2,22,2025
J.Ruckert,TE,N.Y. Jets,3,20,2025
C.Okonkwo,TE,Tennessee,3,20,2025
B.Chubb,LB,Miami,3,25,2025
T.Hockenson,TE,Minnesota,3,20,2025
C.Dicker,K,LA Chargers,3,0,2025
I.Yiadom,DB,New Orleans,2,20,2025
S.Harris,DL,Cleveland,3,32,2025
A.Butler,DL,Las Vegas,3,26,2025
N.Shepherd,DL,New Orleans,3,25,2025
B.Powers,OL,Denver,3,20,2025
Z.Allen,DL,Denver,2,20,2025
B.Okereke,LB,N.Y. Giants,2,20,2025
K.Dotson,OL,LA Rams,3,20,2025
A.Vorhees,OL,Baltimore,3,20,2025
N.Sewell,LB,Chicago,3,35,2025
K.Brooks,DL,Green Bay,3,36,2025
C.Zavala,OL,Carolina,3,25,2025
D.Turner,DB,Cincinnati,2,23,2025
D.Williams,LB,Buffalo,3,22,2025
J.Gaines,OL,Arizona,2,20,2025
J.Howden,DB,New Orleans,3,30,2025
H.To'oTo'o,LB,Houston,3,26,2025
K.Boutte,WR,New England,3,30,2025
X.Hutchinson,WR,Houston,2,20,2025
D.Stills,DL,Arizona,3,20,2025
D.Winters,LB,San Francisco,2,30,2025
T.Shavers,WR,Buffalo,3,30,2025
E.Bonner,DB,Miami,2,10,2025
J.Bobo,WR,Seattle,3,30,2025
A.Palczewski,OL,Denver,2,25,2025
J.Scruggs,OL,Houston,3,25,2025
C.Conner,DB,Kansas City,2,18,2025
B.Bresee,DL,New Orleans,3,22,2025
D.Horton,DL,Houston,2,20,2025
D.Jones,OL,Cleveland,3,18,2025
J.Schmitz,OL,N.Y. Giants,3,30,2025
A.Adebawore,DL,Indianapolis,3,25,2025
E.Higgins,TE,Arizona,3,21,2025
P.Durham,TE,Tampa Bay,3,25,2025
Y.Diaby,LB,Tampa Bay,3,15,2025
D.Allen,TE,LA Rams,3,35,2025
K.Turner,DL,LA Rams,3,25,2025
C.Gonzalez,DB,New England,2,27,2025
D.Barnett,DL,Houston,3,45,2025
C.Snowden,DL,Las Vegas,3,20,2025
D.Autry,DL,Houston,3,30,2025
M.Edwards,DL,Houston,3,35,2025
M.Mariota,QB,Washington,3,30,2025
A.Stinnie,OL,N.Y. Giants,2,15,2025
N.Allegretti,OL,Washington,3,25,2025
M.Jackson,DB,Carolina,2,51,2025
B.Bredeson,OL,Tampa Bay,3,20,2025
B.Jones,DB,Denver,3,21,2025
C.Parkinson,TE,LA Rams,2,15,2025
D.Swift,RB,Chicago,2,20,2025
J.Hawkins,DB,New England,3,35,2025
A.Robertson,DB,Detroit,2,10,2025
M.Peart,OL,Denver,3,25,2025
J.Jeudy,WR,Cleveland,2,20,2025
J.Brooks,LB,Miami,3,19,2025
E.Molden,DB,LA Chargers,2,18,2025
C.Lucas,DB,San Francisco,2,20,2025
D.Tillman,LB,Denver,2,25,2025
L.Latu,DL,Indianapolis,2,11,2025
J.Brownlee,DB,Tennessee,3,36,2025
C.Little,K,Jacksonville,3,0,2025
P.Jules,DB,Cincinnati,3,30,2025
C.Yankoff,TE,Washington,2,18,2025
B.Nix,QB,Denver,2,23,2025
B.Fiske,DL,LA Rams,2,10,2025
J.Powers-Johnson,OL,Las Vegas,2,25,2025
P.Wilson,LB,Pittsburgh,3,23,2025
J.Dedich,OL,LA Rams,2,14,2025
D.Walker,WR,Baltimore,2,15,2025
T.Hopper,LB,Green Bay,3,35,2025
J.Hicks,DB,Kansas City,3,28,2025
J.Trotter,LB,Philadelphia,3,33,2025
T.Johnson,TE,N.Y. Giants,3,25,2025
T.Fautanu,OL,Pittsburgh,2,14,2025
C.Bishop,DB,Buffalo,3,35,2025
J.Solomon,DL,Buffalo,3,27,2025
M.Penix,QB,Atlanta,3,38,2025
R.Odunze,WR,Chicago,3,15,2025
K.Kelly,DB,Las Vegas,3,43,2025
C.Ryland,K,Arizona,3,0,2025
B.Brown,OL,New England,3,25,2025
E.Jones,LB,Seattle,3,13,2025
T.Dodson,LB,Miami,2,12,2025
C.Thomas,DL,Cleveland,3,25,2025
A.Peat,OL,Pittsburgh,3,20,2025
J.Jones,DB,Washington,3,45,2025
E.Murray,DB,Jacksonville,2,41,2025
J.Mundt,TE,Jacksonville,3,20,2025
D.Godchaux,DL,New Orleans,3,20,2025
T.Sherfield,WR,Denver,3,30,2025
A.Cappa,OL,Las Vegas,3,20,2025
D.Smythe,TE,Chicago,3,25,2025
H.Landry,LB,New England,3,15,2025
J.Skule,OL,Minnesota,3,30,2025
L.Johnson,DB,Las Vegas,2,28,2025
N.Fant,TE,Cincinnati,3,19,2025
D.Samuel,WR,Washington,3,25,2025
J.Bachie,LB,Indianapolis,2,25,2025
R.Dowdle,RB,Carolina,3,33,2025
A.Davis-Gaither,LB,Arizona,2,15,2025
W.Fries,OL,Minnesota,3,20,2025
G.Stuard,LB,Detroit,3,30,2025
N.Hobbs,DB,Green Bay,2,10,2025
P.Adebo,DB,N.Y. Giants,3,64,2025
B.Stephens,DB,N.Y. Jets,3,42,2025
K.Elam,DB,Dallas,2,26,2025
M.Butler,DL,Miami,3,35,2025
T.McCollum,DB,Las Vegas,3,30,2025
J.Gibbens,LB,New England,2,29,2025
L.Fortner,OL,New Orleans,3,15,2025
A.Richards,OL,New Orleans,2,10,2025
B.Okoye,DL,Baltimore,2,10,2025
D.Cooper,WR,Philadelphia,3,29,2025
K.Knowles,DB,Kansas City,3,25,2025
K.Jackson,DB,Baltimore,3,30,2025
E.Egbuka,WR,Tampa Bay,3,20,2025
J.Higgins,WR,Houston,2,15,2025
A.Thomas,DB,N.Y. Jets,3,39,2025
J.Parrish,DB,Tampa Bay,3,32,2025
J.Wilson,OL,New England,3,25,2025
Q.Riley,DB,New Orleans,2,26,2025
K.Lambert-Smith,WR,LA Chargers,3,15,2025
A.Borregales,K,New England,3,0,2025
M.Harris,DB,Tennessee,3,31,2025
K.Mullings,RB,Tennessee,2,15,2025
R.Lane,DB,Jacksonville,3,35,2025
C.Colby,OL,San Francisco,3,20,2025
J.Ashby,LS,New England,3,15,2025
J.Huber,OL,Minnesota,3,20,2025
D.Mausi,LB,Tennessee,3,15,2025
T.Simpkins,OL,New Orleans,3,19,2025
E.Ponder,LB,New England,3,30,2025
J.Pearce,LB,Atlanta,3,15,2025
J.Stewart,LB,LA Rams,3,25,2025
G.Helm,TE,Tennessee,2,10,2025
D.Jackson,OL,Minnesota,3,25,2025
T.Hunter,WR,Jacksonville,3,35,2025
J.Barron,DB,Denver,2,14,2025
J.Bech,WR,Las Vegas,3,25,2025
M.Taylor,TE,N.Y. Jets,2,10,2025
D.Knight,LB,Cincinnati,2,10,2025
J.Tuimoloau,DL,Indianapolis,2,20,2025
J.Peppers,DB,Pittsburgh,3,25,2025
M.Robinson,LB,N.Y. Jets,2,23,2025
P.Brown,TE,Arizona,3,24,2025
E.Pole,OL,Kansas City,3,11,2025
J.Meyers,WR,Jacksonville,2,20,2025
D.Jones,LB,Baltimore,2,10,2025
S.Webb,DB,Cleveland,2,20,2025
H.Smith,DB,Minnesota,2,37,2025
T.Kelce,TE,Kansas City,2,8,2025
G.Glasgow,OL,Detroit,2,15,2025
B.Baker,DB,Arizona,2,31,2025
K.Hunt,RB,Kansas City,2,20,2025
R.Ferguson,LS,Buffalo,2,15,2025
Q.Nelson,OL,Indianapolis,2,15,2025
D.Davis,LB,New Orleans,2,17,2025
D.Carlson,K,Las Vegas,2,4,2025
T.Hill,QB,New Orleans,2,19,2025
D.Knox,TE,Buffalo,2,14,2025
D.Williams,DB,LA Rams,2,21,2025
K.Murray,QB,Arizona,2,22,2025
T.McLaurin,WR,Washington,2,10,2025
A.Wingard,DB,Jacksonville,2,29,2025
A.Nelson,LB,Tampa Bay,2,20,2025
A.Dulin,WR,Indianapolis,2,21,2025
H.Butker,K,Kansas City,2,0,2025
J.Herbert,QB,LA Chargers,2,20,2025
J.Love,QB,Green Bay,2,20,2025
B.Jones,DL,Miami,2,10,2025
J.Metellus,DB,Minnesota,2,40,2025
J.Johnson,TE,New Orleans,2,15,2025
T.Wallace,WR,Baltimore,2,15,2025
T.Hendrickson,DL,Cincinnati,2,9,2025
G.Newsome,DB,Cleveland,2,27,2025
P.Sewell,OL,Detroit,2,15,2025
B.Wright,TE,Detroit,2,10,2025
I.McDuffie,LB,Green Bay,2,24,2025
T.Campbell,DB,Jacksonville,2,12,2025
T.Smith,OL,Kansas City,2,10,2025
N.Gray,TE,Kansas City,2,15,2025
Ja.Phillips,LB,Miami,2,20,2025
Q.Williams,LB,N.Y. Jets,2,19,2025
J.Sherwood,LB,N.Y. Jets,2,10,2025
D.Smith,WR,Philadelphia,2,15,2025
P.Freiermuth,TE,Pittsburgh,2,15,2025
W.Hernandez,OL,Arizona,2,8,2025
K.Shakir,WR,Buffalo,2,11,2025
J.Blackwell,DB,Chicago,2,25,2025
