player_name_short,position,team_city,penalty_count,penalty_yards,year
R.Hudson,C,Oakland,5,40,2015
N.Agholor,WR,Philadelphia,5,45,2015
T.Newman,DB,Minnesota,5,77,2015
D.Andrews,OL,New England,5,35,2015
O.Franklin,G,San Diego,4,40,2015
J.Janis,WR,Green Bay,4,35,2015
C.Conte,FS,Tampa Bay,5,57,2015
L.Smith,TE,Oakland,5,25,2015
D.Randall,CB,Green Bay,4,74,2015
M.Williams,TE,Baltimore,5,40,2015
R.Jean Francois,DT,Washington,4,31,2015
T.Taylor,QB,Buffalo,5,31,2015
C.Fuller,WR,Detroit,5,45,2015
G.Hardy,DE,Dallas,5,35,2015
K.Wiggins,T,San Diego,5,45,2015
C.Erving,T,Cleveland,5,50,2015
B.Bell,T,Tennessee,4,40,2015
A.Tiller,G,San Francisco,5,35,2015
L.Collins,T,Dallas,4,28,2015
R.Jensen,C,Baltimore,5,47,2015
V.Beasley,DE,Atlanta,4,17,2015
K.Jackson,CB,Houston,4,21,2015
D.Peko,DT,Cincinnati,4,49,2015
N.Bowman,ILB,San Francisco,4,30,2015
H.Miller,TE,Pittsburgh,4,35,2015
R.Kerrigan,DL,Washington,4,19,2015
B.Raji,NT,Green Bay,4,30,2015
C.Upshaw,OLB,Baltimore,4,37,2015
A.Jeffery,WR,Chicago,4,30,2015
W.Mercilus,DE,Houston,4,30,2015
R.Tannehill,QB,Miami,4,20,2015
D.Shelby,DE,Miami,4,30,2015
R.Brooks,CB,Buffalo,4,49,2015
B.Irvin,LB,Seattle,4,30,2015
L.Vasquez,G,Denver,4,35,2015
F.Rucker,DE,Arizona,4,29,2015
S.Floyd,DT,Minnesota,4,30,2015
A.Bryant,DE,Cleveland,4,25,2015
R.Griffin,TE,Houston,4,44,2015
C.Baker,NT,Washington,4,25,2015
S.McLendon,NT,Pittsburgh,4,20,2015
L.Waddle,T,Detroit,4,25,2015
A.Klein,OLB,Carolina,4,30,2015
J.Addae,DB,San Diego,4,45,2015
D.Sorensen,DB,Kansas City,4,28,2015
T.Larsen,G,Arizona,4,25,2015
R.Miller,DT,Jacksonville,4,20,2015
J.Newsome,OLB,Indianapolis,4,30,2015
P.Brown,OLB,Buffalo,4,48,2015
C.Fiedorowicz,TE,Houston,4,26,2015
J.Matthews,OL,Atlanta,4,35,2015
B.Bortles,QB,Jacksonville,4,20,2015
A.Seferian,TE,Tampa Bay,4,26,2015
K.Mack,DE,Oakland,4,35,2015
A.Barr,LB,Minnesota,4,40,2015
Z.Beadles,G,Jacksonville,4,30,2015
D.Street,WR,Dallas,4,34,2015
J.Dray,TE,Cleveland,4,20,2015
C.Lucas,T,Detroit,4,24,2015
M.Harris,G,Minnesota,4,35,2015
D.Autry,DE,Oakland,4,16,2015
M.Mulligan,TE,Buffalo,4,32,2015
C.West,RB,Kansas City,4,60,2015
B.Benwikere,CB,Carolina,4,74,2015
Z.Miller,TE,Chicago,4,29,2015
A.Ball,DB,Chicago,4,67,2015
J.Hawley,C,Tampa Bay,4,35,2015
C.Walford,TE,Oakland,4,19,2015
Br.McCain,DB,Miami,4,57,2015
S.Bradford,QB,Philadelphia,4,22,2015
K.Acker,CB,San Francisco,4,27,2015
R.Fitzpatrick,QB,N.Y. Jets,4,20,2015
T.Porter,CB,Chicago,4,47,2015
JO.Brown,WR,Arizona,4,45,2015
J.Coleman,CB,New England,4,18,2015
B.Dupree,LB,Pittsburgh,4,20,2015
S.Nelson,CB,Kansas City,4,43,2015
S.Roberts,WR,Oakland,4,30,2015
J.Gresham,TE,Arizona,4,27,2015
E.Harold,OLB,San Francisco,4,25,2015
H.Melton,DT,Tampa Bay,4,30,2015
B.McCain,DB,Miami,4,30,2015
A.Smith,OLB,Oakland,4,25,2015
T.Davis,ILB,Denver,4,30,2015
